Date : 2023-06-09 13:07:10
Directory : c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan
Total : 167 files,  36818 codes, 1289 comments, 2337 blanks, all 40444 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedPostCard.vue                 | vue                |        121 |          0 |         16 |        137 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedWorksCard.vue                | vue                |         81 |          0 |         11 |         92 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Editor\Editor.vue                    | vue                |         88 |          0 |          3 |         91 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Editor\VideoEditor.vue               | vue                |        122 |          0 |          6 |        128 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\HelloWorld.vue                       | vue                |         57 |          1 |          3 |         61 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\LoadingEffect.vue                    | vue                |         94 |          0 |         15 |        109 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\ManageInfo.vue                       | vue                |        196 |          0 |         17 |        213 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\MiniCard.vue                         | vue                |         66 |          0 |          7 |         73 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavBar.vue                           | vue                |        384 |          4 |         36 |        424 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavBarBackGround.vue                 | vue                |         21 |          0 |          4 |         25 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavBarCartoon.vue                    | vue                |         39 |          0 |          2 |         41 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavigationBar.vue                    | vue                |        147 |          6 |         15 |        168 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Player.vue                           | vue                |         41 |          0 |          1 |         42 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\ScrollingScreenCard.vue              | vue                |         50 |          0 |          5 |         55 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\SubscribeCard.vue                    | vue                |        190 |          0 |         29 |        219 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\TopicCard.vue                        | vue                |        125 |          0 |         17 |        142 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\UniversalCard.vue                    | vue                |        764 |          3 |         59 |        826 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\UploadImage.vue                      | vue                |        357 |          0 |         29 |        386 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\GroupCard.vue                  | vue                |         73 |          0 |          8 |         81 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\HotComment.vue                 | vue                |        508 |          0 |         34 |        542 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\HotComments.vue                | vue                |         54 |          0 |          6 |         60 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\HotVideo.vue                   | vue                |         65 |          0 |          9 |         74 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\ItemInfo.vue                   | vue                |         62 |          0 |          4 |         66 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\Lunbo.vue                      | vue                |         78 |         13 |         10 |        101 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\RankBoardSingle.vue            | vue                |        289 |          0 |          6 |        295 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\Rate.vue                       | vue                |         48 |          0 |          5 |         53 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\RateBoard.vue                  | vue                |        173 |          2 |          6 |        181 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\RateWithNumber.vue             | vue                |         23 |          0 |          2 |         25 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\RateWithNumber_M.vue           | vue                |         23 |          0 |          2 |         25 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\ReviewSection.vue              | vue                |        106 |          0 |          8 |        114 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\ReviewSmall.vue                | vue                |        416 |          0 |         14 |        430 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\SectionTitle.vue               | vue                |         26 |          0 |          3 |         29 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\TopicCard.vue                  | vue                |         56 |          0 |          7 |         63 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\VideoBookItem.vue              | vue                |         42 |          0 |          1 |         43 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\VideoHengCard.vue              | vue                |         87 |          0 |          4 |         91 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\VideoRow.vue                   | vue                |         71 |          0 |          7 |         78 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupAdminApplyBar.vue         | vue                |        261 |          0 |         35 |        296 |
