"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "vue", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\ScrollToTopButton.vue", "vue", 0, 0, 0, 0, 34, 0, 0, 2, 3, 39
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentCardUserInfo.vue", "vue", 0, 0, 0, 0, 52, 0, 0, 0, 6, 58
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentFirstLevel.vue", "vue", 0, 0, 0, 0, 143, 0, 0, 10, 4, 157
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentReply.vue", "vue", 0, 0, 0, 0, 127, 0, 0, 3, 9, 139
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentSecondLevel.vue", "vue", 0, 0, 0, 0, 147, 0, 0, 3, 11, 161
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentSection.vue", "vue", 0, 0, 0, 0, 104, 0, 0, 0, 6, 110
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\ContentSizerSideNavBar.vue", "vue", 0, 0, 0, 0, 109, 0, 0, 5, 11, 125
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicCard.vue", "vue", 0, 0, 0, 0, 227, 0, 0, 1, 18, 246
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicCardMini.vue", "vue", 0, 0, 0, 0, 217, 0, 0, 1, 19, 237
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicCreateBar.vue", "vue", 0, 0, 0, 0, 281, 0, 0, 20, 29, 330
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicHotList.vue", "vue", 0, 0, 0, 0, 67, 0, 0, 2, 5, 74
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicNormalList.vue", "vue", 0, 0, 0, 0, 17, 0, 0, 1, 3, 21
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\main.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 13, 18, 72
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\router\index.js", "JavaScript", 317, 0, 0, 0, 0, 0, 0, 64, 15, 396
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\group.js", "JavaScript", 194, 0, 0, 0, 0, 0, 0, 133, 4, 331
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 5, 25
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\post.js", "JavaScript", 448, 0, 0, 0, 0, 0, 0, 464, 4, 916
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\topic.js", "JavaScript", 209, 0, 0, 0, 0, 0, 0, 121, 3, 333
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\upload.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\user.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 28, 2, 114
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\AboutView.vue", "vue", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\BookHomeView.vue", "vue", 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\BookModule.vue", "vue", 0, 0, 0, 0, 162, 0, 0, 3, 12, 177
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookCategory.vue", "vue", 0, 0, 0, 0, 155, 0, 0, 0, 9, 164
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookDefault.vue", "vue", 0, 0, 0, 0, 65, 0, 0, 0, 4, 69
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookDetail.vue", "vue", 0, 0, 0, 0, 503, 0, 0, 9, 56, 568
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookHomeView.vue", "vue", 0, 0, 0, 0, 155, 0, 0, 2, 18, 175
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookList.vue", "vue", 0, 0, 0, 0, 99, 0, 0, 8, 12, 119
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookRankBoard.vue", "vue", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\ButtonForMore.vue", "vue", 0, 0, 0, 0, 54, 0, 0, 0, 4, 58
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\ChangeImage.vue", "vue", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
